entry_id,path,line_or_section,artifact_type,existing_model_order,target_model_order,units_to_move,values_must_move_with_model,color_remap_risk,needs_regeneration,generator_or_source,classification,modification_risk,suggested_verification,notes
MO-067,scripts/build_math16_pilot02_final_report_v1.py,superseded generator,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-068,scripts/build_math16_pilot02_final_report_v11.py,superseded generator,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-069,scripts/build_math16_pilot02_one_pager_v1.py,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-070,scripts/build_math16_pilot02_one_pager_v2.py,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-071,scripts/build_math16_pilot02_one_pager_v21.py,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-072,scripts/build_math16_pilot02_one_pager_v22.py,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-073,scripts/build_math16_pilot02_poster_v1.py,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-074,scripts/build_math16_pilot02_poster_v1_spec.py,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-075,docs/experiments/milestones/math16_pilot02_evidence_complete_v1/frozen_numeric_claims.json,frozen claims — DO NOT EDIT for ordering,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-076,docs/experiments/reports/math16_pilot02_final_report_v13.md,explicitly excluded plain-path Final Report duplicate,markdown,same content family as 20260724 canonical,excluded — do not edit,none,n/a,n/a,no,n/a,G,forbidden by scope,確認本輪未改此檔,使用者完整排除清單。
MO-077,docs/決賽文件/實驗結果文件/20260722_Math16/**,entire historical finals package,directory,historical snapshot,excluded,none,n/a,n/a,no,n/a,G,forbidden,目錄零 diff,不得修改、不得重排、不得加 correction link。
MO-078,docs/experiments/results/**,all raw/machine results trees incl. tier1 paired analysis outputs,directory,evidence order / analysis artifacts,excluded/frozen,none,n/a,n/a,no,n/a,G,forbidden,results/** 零 diff,含 journals/manifests 等原始 evidence。分類上同時屬 F 精神；以 G 標記為排除目錄。
MO-079,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_01_baseline_overall.png,PNG twin of SVG,png,G→4→9,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake with SVG,yes,yes,yes,scripts/build_math16_pilot02_core_figures_v1.py,B,high — 必須與 SVG 同步,PNG 與 SVG 同序同色同值,
MO-080,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_02_prompt_conditions.png,PNG twin of SVG,png,G→4→9,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake with SVG,yes,yes,yes,scripts/build_math16_pilot02_core_figures_v1.py,B,high — 必須與 SVG 同步,PNG 與 SVG 同序同色同值,
MO-081,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_05_healer_eligibility_boundary.png,PNG twin of SVG,png,G→4→9,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake with SVG,yes,yes,yes,scripts/build_math16_pilot02_core_figures_v1.py,B,high — 必須與 SVG 同步,PNG 與 SVG 同序同色同值,
MO-082,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_build_manifest.json,build manifest hashes/order notes,json_manifest,records prior build,update only after intentional regen,n/a,n/a,no,updates on regen,core figures builder,C,low — 隨 regen 自動更新；本輪不改,regen 後 hash 更新,本輪只讀盤點。
MO-083,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_build_report.md,build report text,markdown,mentions 4B/9B,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,presentation mentions if any trio,n/a,no,no this round,core figures builder,C,low,regen 後報告反映新序,
MO-084,docs/experiments/presentation/math16_pilot02_poster_v11/poster_v11_manifest.json,poster manifest,json_manifest,build metadata,update on regen,n/a,n/a,no,yes with poster,poster_v11 builder,C,low,regen 後同步,
